DDBJ/ENA/GenBank Accession	UBA Genome ID	SRA Bin ID	Genome Quality	CheckM Completeness	CheckM Contamination	CheckM Strain Heterogeneity	NCBI Organism Name	SSU Length (bp)	SSU Percent Identity (top hit)	SSU SILVA Taxonomy (top hit)	SSU Top Hit in SILVA	Genome Size (bp)	GC	Coverage	Bases >5x Coverage (%)	No. Ambiguous Bases	No. Contigs	No. Scaffolds	No. Predicted Genes	Coding density	Longest Contig (bp)	Longest Scaffold (bp)	Mean Contig Length (bp)	Mean Scaffold Length (bp)	N50 (contigs)	N50 (scaffolds)	Translation Table	Scaffolds Removed by Filtering	Standard tRNAs	Selenocysteine tRNAs (TCA)	tRNAs Decoding Standard 20 AA	Total tRNAs	Percent PG (relative to NCBI genomes)	CheckM Marker Lineage	CheckM # genomes	CheckM # marker sets	CheckM # markers	CheckM Insertion Branch ID	Environment
DIDK00000000	UBA5802	SRX1363839	Near complete	96.57	0.31	0	Lactobacillaceae bacterium UBA5802 [family]	362	90.859	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus hilgardii	KF030792.1.1540	2075302	37.20874999	23.27	99.27855779	3757	154	134	2088	0.87170301	67529	85683	13451	15487	23377	28950	11	21	17	0	32	33	0.007015	o__Lactobacillales (UID463)	75	160	376	UID517	Bioreactor
DIDD00000000	UBA5809	SRX1363838	Medium	82.81	0.22	50	Veillonellaceae bacterium UBA5809 [family]					1528507	48.09922094	11.85	95.85674282	7578	209	151	1540	0.877244265	29867	36203	7277	10122	10854	13061	11	12	13	0	24	24	0.009454	p__Firmicutes (UID1022)	100	158	295	UID1062	Bioreactor
DIDC00000000	UBA5810	SRX1363838	Medium	86.08	4.53	12.5	Lactobacillaceae bacterium UBA5810 [family]	788	96.34	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus rossiae DSM 15814	AKZK01000036.81.1634	2430014	44.12587453	10.92	92.35087716	1278	269	256	2498	0.857286419	47284	47284	9028	9492	11622	11674	11	12	15	0	26	27	0.001671	o__Lactobacillales (UID355)	490	184	336	UID464	Bioreactor
DICT00000000	UBA5819	SRX392460	Medium	86.01	0	0	Firmicutes bacterium UBA5819 [phylum]					1881411	31.98761958	44.65	99.99829881	377	60	54	1807	0.908058367	211034	211038	31350	34840	87312	87314	11	82	11	1	20	21	0.01811	o__Clostridiales (UID1120)	304	143	250	UID1126	Bioreactor
DJHH00000000	UBA5824	SRX392460	Near complete	92.06	1.4	0	Firmicutes bacterium UBA5824 [phylum]					2063361	42.01773135	15.36	98.24265964	5763	281	181	2123	0.895951314	118348	118348	7322	11399	15266	18054	11	16	12	1	19	21	0.017137	o__Clostridiales (UID1120)	304	143	250	UID1126	Bioreactor
DJHA00000000	UBA5832	SRX392466	Near complete	90.21	2.8	75	Firmicutes bacterium UBA5832 [phylum]					1757988	42.45059965	111.99	100.00211	4458	193	132	1750	0.900642667	85810	106892	9085	13318	14751	19885	11	5	12	1	16	18	0.017137	o__Clostridiales (UID1120)	304	143	250	UID1126	Bioreactor
DJGK00000000	UBA5848	SRX392467	Medium	71.21	0.7	0	Firmicutes bacterium UBA5848 [phylum]					1713117	42.84230194	19.35	99.88471356	2595	83	36	1678	0.90230498	136544	146837	20608	47586	40947	66533	11	1	20	1	35	36	0.017111	o__Clostridiales (UID1120)	304	143	250	UID1126	Bioreactor
DJGB00000000	UBA5857	SRX392468	Near complete	98.6	0.7	0	Firmicutes bacterium UBA5857 [phylum]					2126628	42.33698778	10.46	92.4220405	3827	159	64	2235	0.90122532	71049	115894	13350	33228	24142	52449	11	0	9	1	16	17	0.017098	o__Clostridiales (UID1120)	304	143	250	UID1126	Bioreactor
DJEN00000000	UBA5897	SRX834619	Near complete	96.25	1.8	66.67	Megasphaera sp. UBA5897 [genus]	351	95.989	Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Megasphaera;Megasphaera elsdenii	JRPS01000028.5302.6870	2222318	45.49401185	25.25	99.86335775	7776	184	110	2064	0.874508059	94736	94736	12035	20202	20472	28359	11	2	19	1	36	39	0.003289	o__Selenomonadales (UID1024)	64	167	334	UID1081	Gut
DJDZ00000000	UBA5911	SRX834619	Medium	89.42	1.95	0	Firmicutes bacterium UBA5911 [phylum]					2053387	51.17856815	10.51	94.7857615	15448	431	204	2077	0.849427312	31741	44144	4728	10065	8963	13166	11	3	14	0	26	27	0.005278	o__Clostridiales (UID1120)	304	141	247	UID1150	Gut
DJDX00000000	UBA5913	SRX834619	Partial	66.4	1.12	0	Bacillales bacterium UBA5913 [order]	336	96.063	Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Erysipelotrichaceae UCG-004;uncultured bacterium	FJ684975.1.1424	1133290	52.58797209	9.95	91.34034777	4665	153	65	1042	0.892988555	40169	68259	7376	17435	15247	27272	11	0	19	0	39	40	0.036941	k__Bacteria (UID2329)	174	89	149	UID2372	Gut
DJCB00000000	UBA5961	SRX822279	Medium	93.62	8.06	5.56	Sporomusaceae bacterium UBA5961 [family]					4045396	44.39424498	6.89	73.2975152	10382	461	348	4746	0.872395929	74873	74895	8752	11624	13630	16287	11	15	11	0	20	21	0.008714	p__Firmicutes (UID1022)	100	158	294	UID1061	Built Environment
DJAZ00000000	UBA5989	SRX822275	Near complete	95.59	3.56	0	Sporomusaceae bacterium UBA5989 [family]					4242752	44.47107031	8.7	88.01340736	4183	209	168	4475	0.881100993	136460	168173	20280	25254	34501	35744	11	2	17	1	32	34	0.008714	p__Firmicutes (UID1022)	100	158	295	UID1060	Built Environment
DIWF00000000	UBA6113	SRX327521	Near complete	96.13	0.7	0	Firmicutes bacterium UBA6113 [phylum]					3583449	36.3227756	23.22	99.93090253	105	42	40	3376	0.881248484	393622	393628	85317	89586	151099	151109	11	0	8	0	15	15	0.000705	o__Clostridiales (UID1120)	304	143	250	UID1125	Bioreactor
DIVM00000000	UBA6132	SRX327521	Medium	95.31	6.18	30	Firmicutes bacterium UBA6132 [phylum]					4611986	29.56363883	8.89	85.02665981	737	397	385	4541	0.870659408	85795	85801	11615	11979	18170	18729	11	35	12	0	17	17	0.006862	o__Clostridiales (UID1120)	304	143	250	UID1125	Bioreactor
DIUP00000000	UBA6155	SRX327520	Medium	88.68	0.63	0	Firmicutes bacterium UBA6155 [phylum]					2237978	42.82895219	58.02	99.96330424	662	99	91	2368	0.855010639	138462	138462	22599	24593	42276	48633	11	3	16	0	32	33	0.000088	p__Firmicutes (UID1022)	100	158	295	UID1090	Bioreactor
DITL00000000	UBA6185	SRX327520	Near complete	92.24	1.75	33.33	Firmicutes bacterium UBA6185 [phylum]					1970066	42.61597262	11.55	95.7401465	3050	216	162	2099	0.905736153	159754	160627	9106	12160	19723	21349	11	3	12	1	26	27	0.017111	o__Clostridiales (UID1120)	304	143	250	UID1126	Bioreactor
DJWQ00000000	UBA6226	SRX327522	Medium	73.45	3.45	0	Firmicutes bacterium UBA6226 [phylum]					2943930	36.96253839	39.53	99.89322163	6069	355	261	2917	0.892767491	54397	70703	8275	11279	14406	16761	11	12	12	0	27	27	0.021931	k__Bacteria (UID203)	5449	58	103	UID1148	Bioreactor
DJVX00000000	UBA6245	SRX327522	Medium	89.72	1.63	50	Firmicutes bacterium UBA6245 [phylum]					2089578	46.43184768	20.29	99.54233124	4227	217	151	2152	0.866771185	51933	51935	9609	13838	16429	20724	11	139	18	0	39	39	0.002311	p__Firmicutes (UID1022)	100	158	295	UID1091	Bioreactor
DJVM00000000	UBA6256	SRX327522	Medium	83.57	2.72	0	Firmicutes bacterium UBA6256 [phylum]					2493717	64.45438097	17.92	99.09884324	4361	213	136	2405	0.858618279	106278	120321	11687	18336	24530	31120	11	25	15	0	30	30	0.011896	p__Firmicutes (UID239)	1324	102	176	UID239	Bioreactor
DJSB00000000	UBA6345	SRX834626	Near complete	92.13	1.69	0	Catabacter sp. UBA6345 [genus]	405	96.809	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiales vadinBB60 group;uncultured bacterium	EU468626.1.1353	1291702	30.06124218	13.77	98.47057382	2068	84	50	1097	0.86558587	83763	94523	15352	25834	28115	51683	11	1	19	0	34	34	0.039117	k__Bacteria (UID2329)	174	89	149	UID2329	Gut
DJQZ00000000	UBA6373	SRX834624	Partial	57.94	0.81	50	Catabacter sp. UBA6373 [genus]	411	94.774	Bacteria;Firmicutes;Clostridia;Clostridiales;Christensenellaceae;Christensenellaceae R-7 group;uncultured bacterium	GQ132925.1.1330	999301	37.72412663	8.26	83.04602177	4272	203	117	890	0.871270018	28310	36242	4901	8541	7565	10999	11	1	13	0	20	20	0.040861	o__Clostridiales (UID1212)	172	149	263	UID1226	Gut
DJQM00000000	UBA6386	SRX834623	Near complete	97.95	2.89	11.11	Clostridiales bacterium UBA6386 [order]	702	99.138	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae UCG-005;uncultured bacterium	EU773424.1.1374	2306220	57.61517538	26.73	99.92457127	3384	125	66	2144	0.872929296	92473	183721	18422	34942	38170	55047	11	0	18	0	40	40	0.005104	o__Clostridiales (UID1212)	172	149	263	UID1230	Gut
DJPG00000000	UBA6418	SRX834622	Near complete	92.34	1.06	66.67	Firmicutes bacterium UBA6418 [phylum]					2341991	50.90786146	13.92	98.38296911	14268	348	157	2278	0.858437116	38222	60851	6688	14917	12584	21020	11	5	17	0	30	30	0.005313	o__Clostridiales (UID1120)	304	141	247	UID1150	Gut
DJPC00000000	UBA6422	SRX834622	Medium	76.78	1.11	0	Dialister sp. UBA6422 [genus]	898	97.87	Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Dialister;uncultured bacterium	EU464269.1.1427	1704096	41.51298686	11.15	96.13971404	14273	383	182	1570	0.791373843	30379	38018	4412	9363	8145	12718	11	2	14	0	24	24	0.003659	p__Firmicutes (UID1022)	100	158	295	UID1065	Gut
DJPB00000000	UBA6423	SRX834622	Medium	76.18	0.66	33.33	Bacillales bacterium UBA6423 [order]	916	99.415	Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Asteroleplasma;uncultured bacterium	JQ190683.1.1348	1383238	46.21390569	10.16	94.28941039	11138	326	173	1309	0.855888141	21322	27349	4208	7995	6709	10259	11	2	16	0	28	28	0.033215	k__Bacteria (UID2329)	174	89	149	UID2372	Gut
DJNY00000000	UBA6452	SRX834620	Medium	85	3.74	28.57	Lachnospiraceae bacterium UBA6452 [family]	562	97.861	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae NK4A136 group;uncultured bacterium	DQ808577.1.1394	2557040	44.7764191	14.33	98.73943161	17154	426	242	2444	0.8764595	30048	43317	5962	10566	10006	15569	11	6	16	0	26	26	0.000727	f__Lachnospiraceae (UID1255)	90	174	354	UID1286	Gut
DJNW00000000	UBA6454	SRX834620	Near complete	90.3	0.78	50	Ruminococcaceae bacterium UBA6454 [family]	308	98.68	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;[Eubacterium] coprostanoligenes group;uncultured bacterium	EU771436.1.1390	2178620	46.16918105	12.82	98.12568939	4594	164	91	2016	0.876855073	100388	111660	13256	23940	32060	45784	11	0	16	0	31	31	0.014785	o__Clostridiales (UID1212)	172	149	263	UID1234	Gut
DJNO00000000	UBA6462	SRX834629	Near complete	95.14	0	0	Catabacter sp. UBA6462 [genus]	399	87.154	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiales vadinBB60 group;uncultured rumen bacterium	GU303621.1.1479	1510907	35.41609533	29.48	99.99629048	1277	29	15	1387	0.88591687	233949	259541	52056	100727	87979	128069	11	0	19	0	41	41	0.019004	c__Clostridia (UID1118)	387	124	223	UID1119	Gut
DJMW00000000	UBA6480	SRX834628	Near complete	98.31	3.22	0	Lachnospiraceae bacterium UBA6480 [family]	959	99.372	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae NK4A136 group;uncultured bacterium	AF371569.1.1442	2932819	46.32485704	12.57	97.87686471	3001	98	40	2713	0.904773189	147366	211839	29896	73320	53425	105565	11	0	16	0	36	37	0.000342	f__Lachnospiraceae (UID1286)	57	207	420	UID1293	Gut
DJJR00000000	UBA6563	SRX822645	Partial	67.41	0.63	0	Pelosinus fermentans [species]					4619751	39.9901489	25.34	99.99264746	9098	137	83	4169	0.851232458	184487	248720	33654	55659	48566	95630	11	23	19	0	62	62	0.000419	p__Firmicutes (UID1022)	100	158	295	UID1060	Built Environment
DKLE00000000	UBA6648	SRX822460	Near complete	90.39	0.71	0	Firmicutes bacterium UBA6648 [phylum]	763	90.588	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae AC2044 group;uncultured bacterium	GQ448134.1.1387	2754955	38.63210991	9.41	92.24270802	18317	450	306	2682	0.863370545	32222	35665	6081	9003	8849	11310	11	11	17	0	27	27	0.009428	o__Clostridiales (UID1120)	304	141	247	UID1150	Built Environment
DKLB00000000	UBA6651	SRX822461	Medium	73.99	3.5	0	Firmicutes bacterium UBA6651 [phylum]					2191187	39.1649509	6.08	62.65626592	12369	269	125	2664	0.870752245	49644	74563	8099	17529	15820	23803	11	2	5	1	7	8	0.008156	o__Clostridiales (UID1120)	304	143	250	UID1125	Built Environment
DKGP00000000	UBA6767	SRX823215	Near complete	98.59	4.46	0	Firmicutes bacterium UBA6767 [phylum]					4170752	33.341186	30.93	99.81227971	2316	96	81	4030	0.867765573	231326	343680	43421	51490	68857	84218	11	2	16	1	31	32	0.008549	o__Clostridiales (UID1120)	304	142	249	UID1127	Built Environment
DKGO00000000	UBA6768	SRX823215	Medium	90.07	7.4	12.5	Bacillales bacterium UBA6768 [order]	311	87.869	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Oceanobacillus;Oceanobacillus limi	HQ433455.1.1478	3530160	34.87166335	13.08	96.30660645	5407	268	240	3488	0.84147914	102007	102007	13152	14709	21153	21660	11	5	9	0	19	20	0.013694	c__Bacilli (UID256)	765	151	275	UID272	Built Environment
DKFI00000000	UBA6800	SRX545991	Medium	86.3	0.63	100	Firmicutes bacterium UBA6800 [phylum]					2122259	46.28675795	56.3	99.97258501	6628	258	176	2199	0.852093924	53071	62218	8200	12058	15232	18177	11	11	18	0	37	37	0.002348	p__Firmicutes (UID1022)	100	158	295	UID1091	Bioreactor
DKFC00000000	UBA6806	SRX545991	Near complete	93.59	2.62	0	Firmicutes bacterium UBA6806 [phylum]					3978242	40.19397218	29.73	99.94195415	352	85	80	3609	0.897177447	233917	233917	46798	49728	72830	72830	11	2	11	1	19	21	0.01768	o__Clostridiales (UID1120)	304	141	247	UID1148	Bioreactor
DKEX00000000	UBA6811	SRX545991	Medium	87.91	4.68	0	Firmicutes bacterium UBA6811 [phylum]					2826768	64.14102403	17.52	99.16633107	8383	264	143	2692	0.855201417	87353	148259	10675	19767	21711	37583	11	11	17	0	36	36	0.011426	p__Firmicutes (UID239)	1324	102	176	UID239	Bioreactor
DKEV00000000	UBA6813	SRX545991	Medium	82.94	0.63	100	Firmicutes bacterium UBA6813 [phylum]					2530348	45.4008258	13.92	98.39326718	5286	360	274	2735	0.865321687	59183	65638	7014	9234	10672	14000	11	15	18	0	35	35	0.000083	p__Firmicutes (UID1022)	100	158	295	UID1090	Bioreactor
DKEH00000000	UBA6827	SRX822923	Near complete	99.07	2.1	0	Firmicutes bacterium UBA6827 [phylum]					3386853	38.08320842	9.39	91.69517593	3157	70	36	3334	0.887345273	464401	542116	48338	94079	105548	260488	11	1	15	1	26	28	0.007791	o__Clostridiales (UID1120)	304	143	250	UID1125	Built Environment
DKDP00000000	UBA6845	SRX834630	Near complete	95.75	0	0	Ruminococcaceae bacterium UBA6845 [family]	1686	100	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Faecalibacterium;uncultured bacterium	JQ186977.1.1342	2225376	45.77379918	15.99	99.71239099	3262	106	57	1999	0.902119911	208480	208480	20963	39041	48989	72367	11	0	15	0	33	33	0.000805	o__Clostridiales (UID1212)	172	149	263	UID1234	Gut
DKCV00000000	UBA6865	SRX834634	Near complete	96.63	1.46	0	Bacillales bacterium UBA6865 [order]	373	94.92	Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Erysipelotrichaceae UCG-004;uncultured bacterium	EF515475.1.1382	1576473	39.62146127	21.63	99.91879574	201	32	29	1341	0.893050499	169072	169072	49258	54361	99013	103933	11	0	20	0	47	47	0.036488	k__Bacteria (UID2329)	174	89	149	UID2372	Gut
DKCG00000000	UBA6880	SRX834636	Medium	83.11	0	0	Catabacter sp. UBA6880 [genus]	1519	99.743	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiales vadinBB60 group;uncultured bacterium	JQ185979.1.1338	1564704	47.11122718	33.39	99.99455933	2397	73	42	1318	0.863360738	145406	194501	21401	37254	36520	67337	11	0	16	0	39	39	0.001843	o__Clostridiales (UID1212)	172	149	263	UID1226	Gut
DJXS00000000	UBA6998	SRX445324	Partial	67.39	2.33	36.36	Lachnospiraceae bacterium UBA6998 [family]	306	99.336	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae NK3A20 group;uncultured bacterium	AB821749.1.1524	2432220	52.18619129	137.51	99.99665531	10474	230	139	2242	0.876885315	100195	100195	10529	17497	21750	29662	11	76	18	0	37	39	0.014105	f__Lachnospiraceae (UID1255)	90	174	354	UID1287	Gut
DJWY00000000	UBA7018	SRX445325	Near complete	95.08	0.63	0	Selenomonadales bacterium UBA7018 [order]					2477577	45.19074076	150.02	99.99862548	3984	74	39	2178	0.9195803	308645	374538	33426	63527	52768	92135	11	7	18	0	34	34	0.018403	p__Firmicutes (UID1022)	100	158	295	UID1036	Gut
DLBA00000000	UBA7033	SRX822677	Near complete	92.07	1.4	0	Firmicutes bacterium UBA7033 [phylum]					3050214	38.18089694	68.74	100.0004263	964	26	19	2914	0.894402163	482504	482504	117278	160537	247542	260746	11	0	16	1	31	32	0.007611	o__Clostridiales (UID1120)	304	143	250	UID1125	Built Environment
DKWL00000000	UBA7153	SRX803756	Near complete	97.3	1.35	0	Lachnoclostridium sp. UBA7153 [genus]	490	92.593	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Incertae Sedis;uncultured bacterium	EU457879.1.1391	3095739	34.57939678	62.1	99.8135319	14783	220	169	2896	0.891811616	79258	120168	14004	18317	27975	29367	11	7	11	0	21	21	0.008563	o__Clostridiales (UID1212)	172	148	261	UID1372	Gut
DKVY00000000	UBA7166	SRX803756	Medium	85.59	1.68	25	Ruminococcaceae bacterium UBA7166 [family]	311	99.673	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;[Eubacterium] coprostanoligenes group;uncultured bacterium	AB627498.1.1521	1929872	39.2547288	15.78	97.68320241	63330	387	164	1755	0.832342249	33783	46552	4823	11767	11156	15699	11	4	11	0	18	18	0.006125	o__Clostridiales (UID1212)	172	149	263	UID1234	Gut
DKVN00000000	UBA7177	SRX803757	Medium	72.18	0	0	Faecalibacterium sp. UBA7177 [genus]	418	96.875	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;uncultured;uncultured bacterium	EU622691.1.1493	2305795	64.63339248	118.67	99.89572645	84714	464	181	2172	0.793293419	51511	63970	4786	12739	10538	19355	11	24	14	0	32	32	0.009792	o__Clostridiales (UID1212)	172	147	261	UID1237	Gut
DKUZ00000000	UBA7191	SRX803757	Medium	88.87	2.8	28.57	Ruminococcus sp. UBA7191 [genus]	327	99.077	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus 1;uncultured bacterium	AB606288.1.1490	1754807	44.68400506	17.09	98.52714419	42691	295	144	1549	0.820982592	38473	56495	5803	12186	10818	16392	11	1	8	0	11	12	0.017996	o__Clostridiales (UID1212)	172	149	263	UID1240	Gut
DKSJ00000000	UBA7259	SRX331751	Partial	66.43	0.69	0	Dialister sp. UBA7259 [genus]					2056829	49.67556771	22.29	99.84083994	3550	202	135	1752	0.768890365	150450	150452	10164	15235	16353	22872	11	2	19	0	43	43	0.00395	p__Firmicutes (UID1022)	100	158	295	UID1065	Gut
DKRQ00000000	UBA7278	SRX331753	Medium	78.49	0.05	0	Bacillales bacterium UBA7278 [order]	1555	96.235	Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Erysipelotrichaceae UCG-004;unidentified rumen bacterium RFN20	AB009179.1.1406	1272453	53.94970996	47.94	99.99732751	233	37	31	1124	0.914499003	227503	227503	34384	41046	53711	58430	11	0	18	0	39	40	0.038592	k__Bacteria (UID2329)	174	89	149	UID2372	Gut
DKQZ00000000	UBA7295	SRX331752	Partial	65.8	0.63	0	Dialister sp. UBA7295 [genus]					2075315	49.6611042	35.42	99.92169864	2554	155	112	1752	0.763929813	151501	151505	13372	18529	24361	28629	11	0	19	0	43	43	0.00395	p__Firmicutes (UID1022)	100	158	295	UID1065	Gut
DKPH00000000	UBA7340	SRX822295	Near complete	99.25	0.75	0	Streptococcus suis [species]	1355	99.775	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;uncultured bacterium	EU234087.1.1546	1860388	39.49726975	31.06	99.99919358	305	47	43	1877	0.868926805	200216	200218	39576	43264	55061	59582	11	1	17	0	32	32	0.000622	o__Lactobacillales (UID544)	293	267	475	UID655	Built Environment
DLOO00000000	UBA7482	SRX147847	Medium	86.33	0.4	0	Lachnoclostridium sp. UBA7482 [genus]	551	93.248	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnoclostridium 10;uncultured bacterium	AM500788.1.1435	2051127	47.88712848	16.04	99.23655519	19153	368	87	1942	0.87131416	89248	121298	5521	23576	11169	37380	11	0	14	0	21	22	0.018364	o__Clostridiales (UID1212)	172	149	263	UID1249	Gut
DLNM00000000	UBA7510	SRX823226	Near complete	98.89	4.55	0	Firmicutes bacterium UBA7510 [phylum]					3745532	29.99380651	24.55	99.45547589	6120	110	72	3660	0.881992732	231481	420156	33994	52021	61219	70076	11	2	17	0	32	32	0.009639	o__Clostridiales (UID1120)	304	143	250	UID1126	Built Environment
DLMZ00000000	UBA7523	SRX1122679	Near complete	93.64	0.85	0	Firmicutes bacterium UBA7523 [phylum]					2098518	43.82868867	30.5	99.28187519	22695	214	59	2148	0.864533923	72051	139749	9700	35568	22713	52218	11	0	19	1	40	42	0.009641	p__Firmicutes (UID241)	930	118	213	UID1023	Aquifer
DLKU00000000	UBA7580	SRX834646	Near complete	96.07	1.12	0	Bacillales bacterium UBA7580 [order]	960	95.949	Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Erysipelotrichaceae UCG-004;uncultured Mollicutes bacterium	AM420117.1.1486	1314143	28.32224465	14.95	99.07752126	942	46	34	1190	0.90672248	164304	196576	28547	38651	62861	74844	11	2	20	0	47	47	0.033058	k__Bacteria (UID2329)	174	89	149	UID2372	Gut
DLKT00000000	UBA7581	SRX834646	Near complete	98.76	0	0	Bacillales bacterium UBA7581 [order]	510	88.258	Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Erysipelotrichaceae UCG-004;uncultured bacterium	KF256012.1.1491	1597691	33.69960364	12.46	97.61691504	1147	85	61	1419	0.912637049	107188	107188	18782	26191	32794	42831	11	1	18	0	38	39	0.000631	k__Bacteria (UID2329)	174	89	149	UID2372	Gut
DLKQ00000000	UBA7584	SRX834641	Medium	88.28	2.25	50	Catabacter sp. UBA7584 [genus]	345	96.356	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiales vadinBB60 group;uncultured bacterium	GQ138168.1.1373	1017069	32.32116964	13.85	98.87898561	1917	65	43	906	0.853517313	82320	95069	15617	23652	28583	38636	11	0	19	0	35	35	0.038426	k__Bacteria (UID2329)	174	89	149	UID2329	Gut
DLKM00000000	UBA7588	SRX834640	Medium	84.79	0	0	Catabacter sp. UBA7588 [genus]	662	99.216	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiales vadinBB60 group;uncultured bacterium	JQ185979.1.1338	1748774	45.84205172	32.91	99.99215703	1987	52	30	1474	0.890081852	155179	273148	33592	58292	56220	83740	11	0	20	0	44	44	0.004316	o__Clostridiales (UID1212)	172	149	263	UID1226	Gut
DLQW00000000	UBA7597	SRX834642	Medium	86.39	1.21	0	Catabacter sp. UBA7597 [genus]	337	98.81	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiales vadinBB60 group;uncultured bacterium	DQ800941.1.1376	1765851	51.48520195	10.05	92.79736989	5619	226	98	1541	0.870181006	62952	100677	7788	18018	15138	30337	11	0	16	0	33	33	0.024521	c__Clostridia (UID1118)	387	124	223	UID1118	Gut
DLQV00000000	UBA7598	SRX834642	Medium	84.76	3.09	0	Lachnospiraceae bacterium UBA7598 [family]	337	97.917	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus 1;uncultured bacterium	EU461323.1.1390	2552579	43.793124	8.55	89.98495162	18752	646	309	2595	0.885124417	30656	39103	3922	8260	6598	10037	11	3	11	0	22	25	0.000239	f__Lachnospiraceae (UID1286)	57	207	420	UID1339	Gut
DLJN00000000	UBA7615	SRX823159	Near complete	92.28	0.74	0	Clostridium sp. UBA7615 [genus]	960	98.749	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae 1;Clostridium sensu stricto 13;Clostridium sulfidigenes	JPMD01000079.775.2289	3575800	29.9439718	7.7	79.17057935	14736	384	186	3728	0.837640248	61672	95878	9273	19224	19369	33782	11	2	16	0	30	32	0.00041	g__Clostridium (UID1380)	44	145	404	UID1399	Built Environment
DLIN00000000	UBA7641	SRX691268	Near complete	91.31	2.54	0	Firmicutes bacterium UBA7641 [phylum]	669	99.773	Bacteria;Firmicutes;OPB54;uncultured bacterium	JX575838.1.1391	3481705	41.42123764	22.26	99.8825261	72437	544	198	3139	0.813391715	42178	80224	6267	17584	13106	28286	11	14	19	0	43	44	0.033131	p__Firmicutes (UID241)	930	118	213	UID1022	Bioreactor
DLIB00000000	UBA7653	SRX822660	Near complete	99.44	0	0	Leuconostoc lactis [species]	577	100	Bacteria;Firmicutes;Bacilli;Lactobacillales;Leuconostocaceae;Leuconostoc;Leuconostoc argentinum KCTC 3773	AEGQ01000051.3546.5075	1605069	43.68382797	10.08	93.94870312	917	45	35	1668	0.895674267	177722	188626	35647	45859	80725	91359	11	5	16	0	35	36	0	f__Leuconostocaceae (UID486)	29	178	443	UID497	Built Environment
DLGF00000000	UBA7701	DRX012718	Medium	84.3	2.85	0	Sporomusaceae bacterium UBA7701 [family]					3580469	55.98950397	45.82	99.98407831	448	28	25	3502	0.863517321	509169	509171	127857	143218	262001	276107	11	2	19	1	75	76	0.008775	p__Firmicutes (UID1022)	100	158	294	UID1061	Bioreactor
DLGA00000000	UBA7706	DRX012718	Medium	76.97	1.12	0	Bacillales bacterium UBA7706 [order]	765	90.049	Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Erysipelotrichaceae UCG-004;uncultured bacterium	EU842803.1.1499	1157031	39.5167892	12.18	97.83609732	186	5	3	1057	0.911487246	532321	532691	231369	385677	397037	397047	11	2	12	0	14	14	0.026027	k__Bacteria (UID2329)	174	89	149	UID2372	Bioreactor
